0,随机因子,image: url(:/resource/mutator/Random.png);,0,0,激活一个尚未在该游戏中被选择的突变因子。
1,进攻部署,image: url(:/resource/mutator/Aggressive Deployment.png);,1,0,周期性地将额外的敌方单位部署到战场上。
2,异形寄生,image: url(:/resource/mutator/Alien Incubation.png);,8,0,所有敌方单位在死亡时会孵化巢虫。
3,复仇战士,image: url(:/resource/mutator/Avenger.png);,5,0,当附近的敌方单位死亡时，敌方单位的攻击速度、移动速度、护甲、生命值以及生命回复速度提高。
4,减伤屏障,image: url(:/resource/mutator/Barrier.png);,10,0,敌方单位和建筑在第一次受到伤害时会获得一个临时护盾。
5,黑死病,image: url(:/resource/mutator/Black Death.png);,5,0,一些敌方单位携带着一种疫病，不仅会持续造成伤害，还会传染给附近的其它单位。此类敌人被消灭时，他们会把这种疫病传染给你的单位。
6,暴风雪,image: url(:/resource/mutator/Blizzard.png);,6,0,风暴雷云在地图。上飘荡，对位于其行进路线上的玩家单位造成伤害并将其冻结。
7,炸弹机器人,image: url(:/resource/mutator/Boom Bots.png);,6,0,对一切都毫不在意的机器人携带着聚变弹头朝你的基地进发。一名玩家必须识别出拆弹的顺序，另一名玩家则必须正确输入才能解除危机。
8,震荡攻击,image: url(:/resource/mutator/Concussive Attacks.png);,10,0,玩家单位会被所有敌方攻击减速。
9,暗无天日,image: url(:/resource/mutator/Darkness.png);,5,0,先前探索过的区域若离开了玩家的视野范围将会重新变成一片黑色。
10,伤害散射,image: url(:/resource/mutator/Diffusion.png);,9,0,对敌人造成的伤害将平摊给所有附近的单位，包括你的单位。
11,双重压力,image: url(:/resource/mutator/Double-Edged.png);,4,0,你的单位也会受到他们自身造成的所有伤害，但是会持续恢复。
12,强行征用,image: url(:/resource/mutator/Eminent Domain.png);,2,0,敌人摧毁你的建筑后将获得建筑的控制权。
13,闪避机动,image: url(:/resource/mutator/Evasive Maneuvers.png);,5,0,敌方单位受到伤害时将传送一小段距离。
14,致命勾引,image: url(:/resource/mutator/Fatal Attraction.png);,9,0,敌方单位或建筑被摧毁后，你附近的任何单位将被牵拉至被它们的位置。
15,无边恐惧,image: url(:/resource/mutator/Fear.png);,8,0,玩家的单位在受到伤害时会不时地停止攻击，并且害怕地到处乱跑。
16,核弹打击,image: url(:/resource/mutator/Going Nuclear.png);,8,0,核弹会随机在整张地图.上进行发射。
17,坚强意志,image: url(:/resource/mutator/Hardened Will.png);,1,0,敌方英雄单位附近有任何非英雄敌方单位时，其所受到的伤害最高不超过10
18,风暴英雄,image: url(:/resource/mutator/Heroes from the Storm.png);,4,0,每一轮攻击波次都会由实力越来越强的英雄率领。
19,鼓舞人心,image: url(:/resource/mutator/Inspiration.png);,1,0,敌方英雄单位提高小范围内所有敌人的攻击速度和护甲。
20,给我死吧,image: url(:/resource/mutator/Just Die!.png);,10,0,敌方单位死亡后会自动复活。
21,杀戮机器人,image: url(:/resource/mutator/Kill Bots.png);,10,0,来源不明的进攻性机器人已被释放到了科普卢星区，意图制造毁灭。经过用心险恶的工程改造后，它们在达到预先设定的击杀数量之前都是无敌的存在。
22,激光钻机,image: url(:/resource/mutator/Laser Drill.png);,7,0,一台敌方激光钻机会不停地攻击位于敌人视野范围内的玩家单位。
23,岩浆爆发,image: url(:/resource/mutator/Lava Burst.png);,9,0,岩浆会周期性地在随机位置从地下喷发，并对玩家的空中和地面单位造成伤害。
24,生命吸取,image: url(:/resource/mutator/Life Leech.png);,4,0,敌方单位和建筑在造成伤害时偷取生命值或护盾。
25,超远视距,image: url(:/resource/mutator/Long Range.png);,8,0,敌方单位和建筑的武器射程与视野范围提高。
26,强磁雷场,image: url(:/resource/mutator/Mag-nificent.png);,5,0,麦格天雷会在任务一开始布满整个地图。
27,拿钱说话,image: url(:/resource/mutator/Micro Transactions.png);,3,0,对你的单位发出指令会消耗资源，数量取决于该单位的生产价格。
28,晶矿护盾,image: url(:/resource/mutator/Mineral Shields.png);,6,0,玩家基地中的晶体矿簇会被周期性包覆层护盾，必须将其摧毁才能继续采集资源。
29,扫雷专家,image: url(:/resource/mutator/Minesweeper.png);,6,0,数量庞大的寡妇雷和蜘蛛雷遍布整个战场。
30,飞弹大战,image: url(:/resource/mutator/Missile Command.png);,2,0,你的建筑会不停地遭受飞弹轰炸的袭击，你必须将它们击落。
31,默哀,image: url(:/resource/mutator/Moment Of Silence.png);,6,0,敌方英雄单位死亡时，在其周围的所有玩家单位都会反思自己的过错，无法攻击或使用技能。
32,相互摧毁,image: url(:/resource/mutator/Mutually Assured Destruction.png);,1,0,敌方混合体死亡时会引爆一发核弹。
33,轨道轰炸,image: url(:/resource/mutator/Orbital Strike.png);,8,0,敌人会在地图上周期性地施放轨道轰炸。
34,丧尸大战,image: url(:/resource/mutator/Outbreak.png);,8,0,敌方被感染的人类会不断地出现在地图上。
35,光子过载,image: url(:/resource/mutator/Photon Overload.png);,8,0,所有敌方建筑会攻击附近的敌对单位。
36,极性不定,image: url(:/resource/mutator/Polarity.png);,4,0,每一个敌方单位不是对你的单位免疫，就是对你盟友的单位免疫。
37,灵能爆表,image: url(:/resource/mutator/Power Overwhelming.png);,6,0,所有敌方单位拥有能量并且使用随机技能。
38,同化体,image: url(:/resource/mutator/Propagators.png);,3,0,无形的软泥怪缓慢爬向你的基地，被其接触到的任何单位和建筑都将变成和它们一样的复制体。
39,净化光束,image: url(:/resource/mutator/Purifier Beam.png);,9,0,地图上会出现道敌人的净化光束并朝附近的玩家单位移动。
40,焦土政策,image: url(:/resource/mutator/Scorched Earth.png);,7,0,敌方单位死亡时会点燃地面。
41,自毁程序,image: url(:/resource/mutator/Self Destruction.png);,2,0,敌方单位死亡时发生爆炸，并对附近的玩家单位造成伤害。
42,短视症,image: url(:/resource/mutator/Shortsighted.png);,3,0,玩家单位及其建筑的视野范围缩短。
43,小捞油水,image: url(:/resource/mutator/Slim Pickings.png);,5,0,玩家的工人单位采集资源的效率降低，但是地图上会生成可以拾取的资源。
44,速度狂魔,image: url(:/resource/mutator/Speed Freaks.png);,7,0,敌方单位移动速度提高。
45,时空力场,image: url(:/resource/mutator/Temporal Field.png);,2,0,地图上会周期性地部署敌人的时空力场。
46,时间扭曲,image: url(:/resource/mutator/Time Warp.png);,2,0,地图上会周期性地部署敌人的时间扭曲。
47,力量蜕变,image: url(:/resource/mutator/Transmutation.png);,3,0,敌方单位造成伤害时有一定几率变形成更强大的单位。
48,龙卷风暴,image: url(:/resource/mutator/Twister.png);,8,0,多股龙卷风在地图上移动，对位于其行进路线上的玩家单位造成伤害并将其击退。
49,迷失方向,image: url(:/resource/mutator/Vertigo.png);,8,0,你的镜头会随机改变位置。
50,虚空重生者,image: url(:/resource/mutator/Void Reanimators.png);,3,0,虚空重生者游荡在战场上，不断地复活你的敌人。
51,虚空裂隙,image: url(:/resource/mutator/Void Rifts.png);,10,0,虚空裂隙周期性地出现在随机位置，并会不断地生成敌方单位，直至其被摧毁。
52,行尸走肉,image: url(:/resource/mutator/Walking Infested.png);,4,0,敌方单位在死亡时生成大量的被感染的人类，具体数量由死亡单位的生命值决定。
53,来去无踪,image: url(:/resource/mutator/We Move Unseen.png);,3,0,所有敌方单位永久隐形。
54,暴雪的挑战,image: url(:/resource/mutator/BlizzCon Challenge.png);,0,1,开局只有单突变因子，随着时间推移最终出现10个突变因子。突变因子是固定顺序出现的。
55,嗜血,image: url(:/resource/mutator/Bloodlust.png);,5,1,敌方单位随生命值降低而提高攻击速度和移动速度，并降低受到的伤害。
56,混乱工作室,image: url(:/resource/mutator/Chaos Studios.png);,1,1,突变因子会随机选择，并在任务中周期性轮换。
57,黑暗镜像,image: url(:/resource/mutator/Dark Mirror.png);,8,1,敌人的进攻波次中将包含玩家目前拥有的作战单位。
58,强韧,image: url(:/resource/mutator/Endurance.png);,5,1,敌人和玩家的单位获得三倍生命与护盾。
59,坚城,image: url(:/resource/mutator/Great Wall.png);,10,1,敌人的阵地强度大幅度提高。
60,收集与进化,image: url(:/resource/mutator/I Collect I Change.png);,1,1,非英雄单位杀死敌对单位后，如果被杀死的单位价值高于击杀单位，则击杀单位变为被杀死的单位。
61,临时感染,image: url(:/resource/mutator/Infestation Station.png);,1,1,对任何建筑物造成伤害都有可能使其受到斯托科夫的感染建筑的影响。
62,平面空间,image: url(:/resource/mutator/Level Playing Field.png);,1,1,飞行和地面单位都可以被任何武器或技能伤害，无视其对空对地限制。
63,套娃,image: url(:/resource/mutator/Matryoshka.png);,1,1,敌方单位死亡后将以更弱小的状态重生数次。
64,母舰,image: url(:/resource/mutator/Mothership.png);,1,1,敌人的母舰游荡在战场上攻击玩家的单位。
65,死灵集结,image: url(:/resource/mutator/Necronomicon.png);,1,1,被击杀的玩家单位将在敌人的建筑旁复活并攻击玩家。
66,核子地雷,image: url(:/resource/mutator/Nuclear Mines.png);,1,1,搭载核弹头的地雷遍布整个战场。
67,互斥领域,image: url(:/resource/mutator/Repulsive Field.png);,1,1,敌人的攻击具有击退效果。
68,撕裂力场,image: url(:/resource/mutator/Rip Field Generators.png);,1,1,撕裂力场发生器遍布整个战场，其产生的撕裂力场会持续对进入的玩家单位造成伤害，玩家可以摧毁撕裂力场发生器。
69,变形虫,image: url(:/resource/mutator/Shapeshifters.png);,1,1,变形虫将加入进攻波次，同时游荡在敌人阵地中。变形虫可以变为玩家的任意单位。
70,最高指挥官,image: url(:/resource/mutator/Supreme Commander.png);,1,1,大型单位活力提高25%且体型更大，其他单位活力降低25%且体型更小。所有单位获得+2射程。
71,恐怖迷雾,image: url(:/resource/mutator/The Mist.png);,1,1,恐怖的迷雾游荡在战场中，迷雾中有看不见的可怕威胁。
72,风暴英雄二,image: url(:/resource/mutator/The Usual Suspects.png);,1,1,合作任务中的玩家英雄加入埃蒙，随着进攻波次向玩家发起攻击。
73,旧风暴英雄,image: url(:/resource/mutator/Old HotS.png);,1,1,旧版风暴英雄机制：每一波进攻都包含固定数量的风暴英雄。
74,惧怕黑暗,image: url(:/resource/mutator/Afraid of the Dark.png);,5,1,通过各种方式提供的视野都会受到极大的限制，只有你镜头中的视野一切正常。
75,焰火秀,image: url(:/resource/mutator/Fireworks.png);,2,1,敌人死亡时会发射灿烂的烟花，对你周围的单位造成伤害。
76,礼尚往来,image: url(:/resource/mutator/Gift Exchange.png);,2,1,地图上会周期性地放置一些礼物。你们不抢就会便宜了埃蒙哟!
77,幸运红包,image: url(:/resource/mutator/Lucky Envelopes.png);,2,1,塞满物资的节日红包，被随机丢弃在地图的各个角落。
78,杀生业报,image: url(:/resource/mutator/Naughty List.png);,2,1,玩家的单位和建筑每消灭一个敌人，其所受到的伤害就会提高。
79,补给共享,image: url(:/resource/mutator/Sharing Is Caring.png);,2,1,你和你的搭档共享补给，双方的部队单位会占用你们共有的补给。
80,糖果碗,image: url(:/resource/mutator/Trick or Treat.png);,2,1,平民们会拜访你的糖果碗寻找零食，这些零食是通过花费晶体矿产生的。如果没有零食可以享用，平民们就会变身成随机的敌方单位。
81,捕杀火鸡,image: url(:/resource/mutator/Turkey Shoot.png);,2,1,补给只能通过击杀火鸡产生，它们在整个地图上漫游这么做可能会激怒其它的火鸡。
